AnnoS;GruppoCOD;Nome Gruppo Disciplinare;SESSO;lau
2024;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;26376
2024;2;Arte e Design                                                                                                                                                                                                                                             ;F;9214
2024;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;13464
2024;4;Linguistico                                                                                                                                                                                                                                               ;F;20803
2024;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;23691
2024;6;Psicologico                                                                                                                                                                                                                                               ;F;18038
2024;7;Economico                                                                                                                                                                                                                                                 ;F;31636
2024;8;Giuridico                                                                                                                                                                                                                                                 ;F;13399
2024;9;Scientifico                                                                                                                                                                                                                                               ;F;20137
2024;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;1302
2024;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;6963
2024;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;13276
2024;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3848
2024;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;31661
2024;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;5856
2024;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1905
2024;2;Arte e Design                                                                                                                                                                                                                                             ;M;3724
2024;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;7125
2024;4;Linguistico                                                                                                                                                                                                                                               ;M;3594
2024;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;12755
2024;6;Psicologico                                                                                                                                                                                                                                               ;M;4168
2024;7;Economico                                                                                                                                                                                                                                                 ;M;34794
2024;8;Giuridico                                                                                                                                                                                                                                                 ;M;12251
2024;9;Scientifico                                                                                                                                                                                                                                               ;M;14214
2024;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;5743
2024;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;7885
2024;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;37286
2024;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4074
2024;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;14557
2024;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;11814
2023;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;24116
2023;2;Arte e Design                                                                                                                                                                                                                                             ;F;8869
2023;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;12357
2023;4;Linguistico                                                                                                                                                                                                                                               ;F;20501
2023;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;21591
2023;6;Psicologico                                                                                                                                                                                                                                               ;F;16671
2023;7;Economico                                                                                                                                                                                                                                                 ;F;31063
2023;8;Giuridico                                                                                                                                                                                                                                                 ;F;12512
2023;9;Scientifico                                                                                                                                                                                                                                               ;F;19702
2023;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;1034
2023;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;6713
2023;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;12717
2023;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3831
2023;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;29658
2023;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;5003
2023;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1849
2023;2;Arte e Design                                                                                                                                                                                                                                             ;M;3708
2023;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;6587
2023;4;Linguistico                                                                                                                                                                                                                                               ;M;3409
2023;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;12417
2023;6;Psicologico                                                                                                                                                                                                                                               ;M;3972
2023;7;Economico                                                                                                                                                                                                                                                 ;M;34223
2023;8;Giuridico                                                                                                                                                                                                                                                 ;M;11218
2023;9;Scientifico                                                                                                                                                                                                                                               ;M;13678
2023;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;4950
2023;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;7760
2023;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;35814
2023;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3901
2023;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;13390
2023;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;10646
2022;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;22435
2022;2;Arte e Design                                                                                                                                                                                                                                             ;F;8031
2022;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;11014
2022;4;Linguistico                                                                                                                                                                                                                                               ;F;18865
2022;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;19659
2022;6;Psicologico                                                                                                                                                                                                                                               ;F;14596
2022;7;Economico                                                                                                                                                                                                                                                 ;F;29735
2022;8;Giuridico                                                                                                                                                                                                                                                 ;F;11850
2022;9;Scientifico                                                                                                                                                                                                                                               ;F;18162
2022;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;865
2022;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;6772
2022;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;11831
2022;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3877
2022;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;28622
2022;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;4269
2022;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1833
2022;2;Arte e Design                                                                                                                                                                                                                                             ;M;3284
2022;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;6066
2022;4;Linguistico                                                                                                                                                                                                                                               ;M;3206
2022;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;11953
2022;6;Psicologico                                                                                                                                                                                                                                               ;M;3406
2022;7;Economico                                                                                                                                                                                                                                                 ;M;32429
2022;8;Giuridico                                                                                                                                                                                                                                                 ;M;10043
2022;9;Scientifico                                                                                                                                                                                                                                               ;M;12818
2022;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;4285
2022;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;7794
2022;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;33968
2022;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4030
2022;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;12922
2022;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;9131
2021;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;21544
2021;2;Arte e Design                                                                                                                                                                                                                                             ;F;8165
2021;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;10899
2021;4;Linguistico                                                                                                                                                                                                                                               ;F;19653
2021;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;19903
2021;6;Psicologico                                                                                                                                                                                                                                               ;F;14358
2021;7;Economico                                                                                                                                                                                                                                                 ;F;30678
2021;8;Giuridico                                                                                                                                                                                                                                                 ;F;11974
2021;9;Scientifico                                                                                                                                                                                                                                               ;F;18554
2021;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;776
2021;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;7508
2021;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;11858
2021;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4326
2021;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;29579
2021;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;3893
2021;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1752
2021;2;Arte e Design                                                                                                                                                                                                                                             ;M;3297
2021;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5997
2021;4;Linguistico                                                                                                                                                                                                                                               ;M;3346
2021;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;12884
2021;6;Psicologico                                                                                                                                                                                                                                               ;M;3406
2021;7;Economico                                                                                                                                                                                                                                                 ;M;33572
2021;8;Giuridico                                                                                                                                                                                                                                                 ;M;8998
2021;9;Scientifico                                                                                                                                                                                                                                               ;M;12891
2021;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;4269
2021;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;8940
2021;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;34224
2021;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4516
2021;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;13623
2021;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;8591
2020;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;19062
2020;2;Arte e Design                                                                                                                                                                                                                                             ;F;7547
2020;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;10179
2020;4;Linguistico                                                                                                                                                                                                                                               ;F;19098
2020;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;17812
2020;6;Psicologico                                                                                                                                                                                                                                               ;F;13675
2020;7;Economico                                                                                                                                                                                                                                                 ;F;28772
2020;8;Giuridico                                                                                                                                                                                                                                                 ;F;11764
2020;9;Scientifico                                                                                                                                                                                                                                               ;F;17382
2020;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;745
2020;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;7928
2020;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;10567
