AnnoS;CorsoTIPO;SESSO;Lau
2024;Laurea Magistrale a Ciclo Unico - dm 270/04;M;13094
2024;Laurea Specialistica a Ciclo Unico - dm 509/99;F;148
2024;Laurea Magistrale - dm 270/04;M;61428
2024;Corso di Laurea - vecchio ordinamento;F;278
2024;Laurea Specialistica - dm 509/99;F;43
2024;Laurea  - dm 509/99;M;185
2024;Laurea - dm 270/04;M;100958
2024;Laurea Specialistica a Ciclo Unico - dm 509/99;M;80
2024;Laurea Magistrale - dm 270/04;F;81884
2024;Corso di Laurea - vecchio ordinamento;M;120
2024;Laurea - dm 270/04;F;131886
2024;Laurea Magistrale a Ciclo Unico - dm 270/04;F;25120
2024;Laurea Specialistica - dm 509/99;M;24
2024;Laurea  - dm 509/99;F;305
2023;Laurea Specialistica a Ciclo Unico - dm 509/99;M;117
2023;Laurea Specialistica - dm 509/99;F;46
2023;Laurea  - dm 509/99;M;240
2023;Corso di Laurea - vecchio ordinamento;F;324
2023;Laurea Specialistica a Ciclo Unico - dm 509/99;F;204
2023;Laurea Magistrale - dm 270/04;M;59647
2023;Laurea Magistrale a Ciclo Unico - dm 270/04;M;12653
2023;Laurea - dm 270/04;M;94701
2023;Laurea Magistrale - dm 270/04;F;78376
2023;Laurea Specialistica - dm 509/99;M;38
2023;Laurea Magistrale a Ciclo Unico - dm 270/04;F;24030
2023;Laurea  - dm 509/99;F;377
2023;Corso di Laurea - vecchio ordinamento;M;126
2023;Laurea - dm 270/04;F;122981
2022;Laurea Magistrale a Ciclo Unico - dm 270/04;M;13132
2022;Laurea Specialistica - dm 509/99;M;42
2022;Laurea  - dm 509/99;F;485
2022;Corso di Laurea - vecchio ordinamento;F;392
2022;Laurea - dm 270/04;F;113451
2022;Laurea Specialistica a Ciclo Unico - dm 509/99;F;246
2022;Laurea Magistrale - dm 270/04;F;71480
2022;Laurea Magistrale a Ciclo Unico - dm 270/04;F;24466
2022;Corso di Laurea - vecchio ordinamento;M;190
2022;Laurea Specialistica a Ciclo Unico - dm 509/99;M;153
2022;Laurea - dm 270/04;M;87643
2022;Laurea Magistrale - dm 270/04;M;55634
2022;Laurea  - dm 509/99;M;374
2022;Laurea Specialistica - dm 509/99;F;63
2021;Corso di Laurea - vecchio ordinamento;F;470
2021;Laurea Specialistica a Ciclo Unico - dm 509/99;M;243
2021;Laurea  - dm 509/99;F;791
2021;Laurea Magistrale a Ciclo Unico - dm 270/04;M;13964
2021;Laurea Specialistica - dm 509/99;M;83
2021;Laurea - dm 270/04;M;90103
2021;Laurea Magistrale - dm 270/04;F;67849
2021;Laurea - dm 270/04;F;118433
2021;Laurea Specialistica a Ciclo Unico - dm 509/99;F;404
2021;Corso di Laurea - vecchio ordinamento;M;257
2021;Laurea Specialistica - dm 509/99;F;100
2021;Laurea Magistrale a Ciclo Unico - dm 270/04;F;25621
2021;Laurea  - dm 509/99;M;618
2021;Laurea Magistrale - dm 270/04;M;55038
2020;Laurea - dm 270/04;M;87369
2020;Laurea Specialistica a Ciclo Unico - dm 509/99;M;367
2020;Corso di Laurea - vecchio ordinamento;M;323
2020;Laurea Specialistica - dm 509/99;F;134
2020;Laurea  - dm 509/99;M;853
2020;Laurea Magistrale - dm 270/04;M;50128
2020;Laurea Magistrale a Ciclo Unico - dm 270/04;F;25528
2020;Laurea Specialistica - dm 509/99;M;134
2020;Laurea Specialistica a Ciclo Unico - dm 509/99;F;602
2020;Corso di Laurea - vecchio ordinamento;F;582
2020;Laurea  - dm 509/99;F;915
2020;Laurea Magistrale a Ciclo Unico - dm 270/04;M;14325
2020;Laurea - dm 270/04;F;111322
2020;Laurea Magistrale - dm 270/04;F;61435
2019;Laurea Magistrale a Ciclo Unico - dm 270/04;F;24994
2019;Laurea  - dm 509/99;F;1471
2019;Laurea Specialistica - dm 509/99;F;177
2019;Laurea Magistrale - dm 270/04;M;47903
2019;Laurea - dm 270/04;F;108513
2019;Laurea Specialistica a Ciclo Unico - dm 509/99;F;810
2019;Laurea  - dm 509/99;M;1370
2019;Corso di Laurea - vecchio ordinamento;F;855
2019;Laurea Specialistica a Ciclo Unico - dm 509/99;M;503
2019;Laurea Magistrale a Ciclo Unico - dm 270/04;M;14284
2019;Corso di Laurea - vecchio ordinamento;M;389
2019;Laurea Magistrale - dm 270/04;F;58259
2019;Laurea - dm 270/04;M;84331
2019;Laurea Specialistica - dm 509/99;M;262
2018;Laurea  - dm 509/99;F;2095
2018;Laurea Magistrale a Ciclo Unico - dm 270/04;F;24735
2018;Laurea Specialistica a Ciclo Unico - dm 509/99;M;796
2018;Laurea Magistrale - dm 270/04;F;54152
2018;Laurea Specialistica - dm 509/99;M;478
2018;Laurea Magistrale a Ciclo Unico - dm 270/04;M;14511
2018;Laurea Specialistica a Ciclo Unico - dm 509/99;F;1256
2018;Corso di Laurea - vecchio ordinamento;F;1025
2018;Laurea  - dm 509/99;M;1912
2018;Laurea Magistrale - dm 270/04;M;44299
2018;Laurea - dm 270/04;F;103613
2018;Corso di Laurea - vecchio ordinamento;M;491
2018;Laurea Specialistica - dm 509/99;F;279
