AnnoS;ClasseNUMERO;ClasseNOME;Sesso;Lau
2024;LM-32;Ingegneria informatica;F;615
2024;L-16;Scienze dell'amministrazione e dell'organizzazione;M;510
2024;LM-47;Organizzazione e gestione dei servizi per lo sport e le attività motorie;F;1682
2024;LM-46;Classe non definita;M;3
2024;LM-84;Classe non definita;F;2
2024;LM-71;Scienze e tecnologie della chimica industriale;M;231
2024;L-38;Scienze e tecnologie zootecniche e delle produzioni animali;F;2
2024;L-25;Scienze e tecnologie agrarie e forestali;F;554
2024;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;9781
2024;LM-62;Scienze della politica;F;602
2024;L-2;Biotecnologie;F;2297
2024;L-16;Scienze dell'amministrazione;F;6
2024;LM-41;Specialistiche in medicina e chirurgia;M;39
2024;LM-31;Ingegneria gestionale;F;1737
2024;LM-35;Specialistiche in ingegneria per l'ambiente e il territorio;F;1
2024;L-42;Scienze storiche;F;7
2024;LM-77;Classe non definita;M;13
2024;LM-25;Ingegneria dell'automazione;M;838
2024;LM-52;Classe non definita;M;14
2024;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;F;130
2024;LM-92;Specialistiche in teoria della comunicazione;F;1
2024;LM-72;Scienze e tecnologie della navigazione;F;13
2024;LM-61;Scienze della nutrizione umana;M;912
2024;L-7;Ingegneria civile e ambientale;M;2658
2024;L-36;Scienze politiche e delle relazioni internazionali;F;4678
2024;L/DS;Scienze della difesa e della sicurezza;M;228
2024;L-Sc.Mat.;Scienze dei Materiali;F;1
2024;LM-89;Classe non definita;M;4
2024;LM-18;Specialistiche in informatica;F;1
2024;LM-50;Programmazione e gestione dei servizi educativi;M;76
2024;LM-88;Classe non definita;M;1
2024;LM-48;Pianificazione territoriale urbanistica e ambientale;M;117
2024;L-14;Scienze giuridiche;F;17
2024;L-21;Urbanistica e scienze della pianificazione territoriale e ambientale;M;1
2024;LM-74;Classe non definita;F;1
2024;L-42;Storia;F;593
2024;L-39;Scienze del servizio sociale;F;9
2024;LM-26;Ingegneria della sicurezza;M;637
2024;LM-90;Studi europei;M;170
2024;LM-78;Scienze filosofiche;F;695
2024;L-12;Mediazione linguistica;F;5478
2024;L-P01;Professioni tecniche per l'edilizia e il territorio;M;40
2024;LM-5;Archivistica e biblioteconomia;M;33
2024;L-P03;Professioni tecniche industriali e dell’informazione;F;1
2024;L-28;Scienze e tecnologie della navigazione marittima e aerea;M;2
2024;L-1;Beni culturali;F;2273
2024;L-24;Scienze e tecniche psicologiche;F;10396
2024;L-25/L-26;Scienze e tecnologie agrarie, agroalimentari e forestali;M;6
2024;LM-82;Classe non definita;F;1
2024;LM/SC-GIUR;Scienze Giuridiche;F;271
2024;L-8;Ingegneria dell'informazione;M;8400
2024;L-40;Scienze sociologiche;M;2
2024;LM-4cu;Classe non definita;F;4
2024;L-5;Filosofia;M;1269
2024;LM-12;Design;F;902
2024;LM-42;Medicina veterinaria;M;213
2024;LM-90;Specialistiche in studi europei;M;1
2024;L-27;Scienze e tecnologie chimiche;M;963
2024;LM-54;Classe non definita;M;2
2024;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);M;688
2024;L-6;Geografia;F;62
2024;LM-63;Scienze delle pubbliche amministrazioni;M;570
2024;L-40;Sociologia;M;489
2024;LM-14;Filologia moderna;F;4061
2024;LM-94;Classe non definita;F;1
2024;LM-40;Matematica;F;587
2024;LM-Sc.Mat.;Scienze dei Materiali;M;4
2024;LM-60;Scienze della natura;F;203
2024;LM-94;Traduzione specialistica e interpretariato;M;123
2024;LM-6;Biologia;M;988
2024;L-43;Diagnostica per la conservazione dei beni culturali;F;70
2024;LM-31;Classe non definita;F;1
2024;LM-13;Classe non definita;M;1
2024;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità;F;1762
2024;LM-35;Classe non definita;M;1
2024;LM-91;Tecniche e metodi per la societa dell'informazione;F;314
2024;LM-39;Specialistiche in linguistica;F;1
2024;LM-24;Ingegneria dei sistemi edilizi;F;263
2024;LM-56;Scienze dell'economia;F;2653
2024;LMG/01;Classe non definita;F;49
2024;LM-37;Classe non definita;M;3
2024;LM-40;Classe non definita;F;2
2024;LM-80;Scienze geografiche;F;78
2024;LM/GASTR;Scienze economiche  e sociali della gastronomia;M;17
2024;LM-81;Scienze per la cooperazione allo sviluppo;M;153
2024;LM-49;Progettazione e gestione dei sistemi turistici;M;149
2024;LM-22;Ingegneria chimica;F;458
2024;L-17;Scienze dell'architettura;F;1451
2024;LM-82;Specialistiche in statistica demografica e sociale;F;1
2024;LM-76;Scienze economiche per l'ambiente e la cultura;M;153
2024;LM/SNT3;Scienze delle professioni sanitarie tecniche;F;273
2024;LM-33;Ingegneria meccanica;M;3207
2024;LM-82;Scienze statistiche;M;400
2024;LM-41;Medicina e chirurgia;F;5789
2024;LM-17;Fisica;F;418
2024;L-14;Scienze dei servizi giuridici;F;4494
2024;LM-68;Scienze e tecniche dello sport;M;750
2024;LM-54;Scienze chimiche;F;721
2024;LM-27;Ingegneria delle telecomunicazioni;F;161
2024;LM-23;Ingegneria civile;F;441
2024;L-13;Scienze biologiche;M;1153
2024;LM-14;Classe non definita;F;30
2024;LM-27;Classe non definita;M;1
2024;LM-17;Classe non definita;M;3
2024;LM-23;Classe non definita;F;2
2024;LM-4;Architettura e ingegneria edile-architettura;M;1012
2024;LM-69;Classe non definita;M;3
2024;LM/SNT1;Scienze infermieristiche e ostetriche;M;415
2024;LM-1;Antropologia culturale ed etnologia;F;296
2024;LM-74;Scienze e tecnologie geologiche;F;160
2024;L-1;Beni culturali;M;698
2024;L-28;Scienze e tecnologie della navigazione;F;55
2024;LM-31;Classe non definita;M;2
