AnnoS;CorsoTIPO;AnnoNascita;SESSO;Lau
2024;Laurea;1984 e precedenti;F;7851
2024;Laurea Magistrale;1984 e precedenti;F;6541
2024;Laurea Magistrale Ciclo Unico;1984 e precedenti;F;1205
2024;Vecchio Ordinamento;1984 e precedenti;F;263
2024;Laurea;1984 e precedenti;M;6705
2024;Laurea Magistrale;1984 e precedenti;M;4081
2024;Laurea Magistrale Ciclo Unico;1984 e precedenti;M;1087
2024;Vecchio Ordinamento;1984 e precedenti;M;119
2024;Laurea;1985;F;704
2024;Laurea Magistrale;1985;F;829
2024;Laurea Magistrale Ciclo Unico;1985;F;172
2024;Vecchio Ordinamento;1985;F;1
2024;Laurea;1985;M;597
2024;Laurea Magistrale;1985;M;439
2024;Laurea Magistrale Ciclo Unico;1985;M;93
2024;Laurea;1986;F;719
2024;Laurea Magistrale;1986;F;851
2024;Laurea Magistrale Ciclo Unico;1986;F;188
2024;Vecchio Ordinamento;1986;F;3
2024;Laurea;1986;M;580
2024;Laurea Magistrale;1986;M;517
2024;Laurea Magistrale Ciclo Unico;1986;M;115
2024;Laurea;1987;F;789
2024;Laurea Magistrale;1987;F;839
2024;Laurea Magistrale Ciclo Unico;1987;F;183
2024;Laurea;1987;M;645
2024;Laurea Magistrale;1987;M;512
2024;Laurea Magistrale Ciclo Unico;1987;M;107
2024;Laurea;1988;F;827
2024;Laurea Magistrale;1988;F;946
2024;Laurea Magistrale Ciclo Unico;1988;F;245
2024;Vecchio Ordinamento;1988;F;4
2024;Laurea;1988;M;713
2024;Laurea Magistrale;1988;M;570
2024;Laurea Magistrale Ciclo Unico;1988;M;145
2024;Vecchio Ordinamento;1988;M;1
2024;Laurea;1989;F;970
2024;Laurea Magistrale;1989;F;1038
2024;Laurea Magistrale Ciclo Unico;1989;F;259
2024;Vecchio Ordinamento;1989;F;3
2024;Laurea;1989;M;791
2024;Laurea Magistrale;1989;M;698
2024;Laurea Magistrale Ciclo Unico;1989;M;162
2024;Laurea;1990;F;954
2024;Laurea Magistrale;1990;F;1190
2024;Laurea Magistrale Ciclo Unico;1990;F;347
2024;Vecchio Ordinamento;1990;F;1
2024;Laurea;1990;M;911
2024;Laurea Magistrale;1990;M;833
2024;Laurea Magistrale Ciclo Unico;1990;M;220
2024;Laurea;1991;F;1105
2024;Laurea Magistrale;1991;F;1315
2024;Laurea Magistrale Ciclo Unico;1991;F;378
2024;Vecchio Ordinamento;1991;F;3
2024;Laurea;1991;M;1123
2024;Laurea Magistrale;1991;M;1028
2024;Laurea Magistrale Ciclo Unico;1991;M;272
2024;Laurea;1992;F;1327
2024;Laurea Magistrale;1992;F;1620
2024;Laurea Magistrale Ciclo Unico;1992;F;500
2024;Laurea;1992;M;1282
2024;Laurea Magistrale;1992;M;1169
2024;Laurea Magistrale Ciclo Unico;1992;M;336
2024;Laurea;1993;F;1565
2024;Laurea Magistrale;1993;F;1904
2024;Laurea Magistrale Ciclo Unico;1993;F;604
2024;Laurea;1993;M;1499
2024;Laurea Magistrale;1993;M;1499
2024;Laurea Magistrale Ciclo Unico;1993;M;402
2024;Laurea;1994;F;1814
2024;Laurea Magistrale;1994;F;2443
2024;Laurea Magistrale Ciclo Unico;1994;F;781
2024;Laurea;1994;M;1809
2024;Laurea Magistrale;1994;M;2068
2024;Laurea Magistrale Ciclo Unico;1994;M;519
2024;Laurea;1995;F;2229
2024;Laurea Magistrale;1995;F;3387
2024;Laurea Magistrale Ciclo Unico;1995;F;1033
2024;Laurea;1995;M;2288
2024;Laurea Magistrale;1995;M;2918
2024;Laurea Magistrale Ciclo Unico;1995;M;691
2024;Laurea;1996;F;2886
2024;Laurea Magistrale;1996;F;5035
2024;Laurea Magistrale Ciclo Unico;1996;F;1458
2024;Laurea;1996;M;2834
2024;Laurea Magistrale;1996;M;4402
2024;Laurea Magistrale Ciclo Unico;1996;M;932
2024;Laurea;1997;F;3869
2024;Laurea Magistrale;1997;F;7949
2024;Laurea Magistrale Ciclo Unico;1997;F;2331
2024;Laurea;1997;M;4006
2024;Laurea Magistrale;1997;M;6826
2024;Laurea Magistrale Ciclo Unico;1997;M;1363
2024;Laurea;1998;F;5748
2024;Laurea Magistrale;1998;F;13163
2024;Laurea Magistrale Ciclo Unico;1998;F;4209
2024;Laurea;1998;M;5504
2024;Laurea Magistrale;1998;M;10063
2024;Laurea Magistrale Ciclo Unico;1998;M;2130
2024;Laurea;1999;F;9119
2024;Laurea Magistrale;1999;F;16859
2024;Laurea Magistrale Ciclo Unico;1999;F;6173
2024;Laurea;1999;M;8075
2024;Laurea Magistrale;1999;M;12608
2024;Laurea Magistrale Ciclo Unico;1999;M;2833
2024;Laurea;2000;F;16418
2024;Laurea Magistrale;2000;F;13930
2024;Laurea Magistrale Ciclo Unico;2000;F;4530
2024;Laurea;2000;M;12902
2024;Laurea Magistrale;2000;M;9770
2024;Laurea Magistrale Ciclo Unico;2000;M;1546
2024;Laurea;2001;F;30793
2024;Laurea Magistrale;2001;F;2044
2024;Laurea Magistrale Ciclo Unico;2001;F;662
2024;Laurea;2001;M;20926
2024;Laurea Magistrale;2001;M;1402
2024;Laurea Magistrale Ciclo Unico;2001;M;216
2024;Laurea;2002 e successivi;F;42504
2024;Laurea Magistrale;2002 e successivi;F;44
2024;Laurea Magistrale Ciclo Unico;2002 e successivi;F;10
2024;Laurea;2002 e successivi;M;27952
2024;Laurea Magistrale;2002 e successivi;M;49
2024;Laurea Magistrale Ciclo Unico;2002 e successivi;M;5
2023;Laurea;1983 e precedenti;F;6619
2023;Laurea Magistrale;1983 e precedenti;F;5086
2023;Laurea Magistrale Ciclo Unico;1983 e precedenti;F;993
2023;Vecchio Ordinamento;1983 e precedenti;F;296
2023;Laurea;1983 e precedenti;M;6644
2023;Laurea Magistrale;1983 e precedenti;M;3531
2023;Laurea Magistrale Ciclo Unico;1983 e precedenti;M;939
2023;Vecchio Ordinamento;1983 e precedenti;M;125
2023;Laurea;1984;F;582
2023;Laurea Magistrale;1984;F;736
2023;Laurea Magistrale Ciclo Unico;1984;F;157
2023;Vecchio Ordinamento;1984;F;2
2023;Laurea;1984;M;507
2023;Laurea Magistrale;1984;M;388
2023;Laurea Magistrale Ciclo Unico;1984;M;80
2023;Laurea;1985;F;609
2023;Laurea Magistrale;1985;F;713
2023;Laurea Magistrale Ciclo Unico;1985;F;173
2023;Vecchio Ordinamento;1985;F;2
2023;Laurea;1985;M;551
2023;Laurea Magistrale;1985;M;410
2023;Laurea Magistrale Ciclo Unico;1985;M;93
2023;Laurea;1986;F;659
2023;Laurea Magistrale;1986;F;745
2023;Laurea Magistrale Ciclo Unico;1986;F;209
2023;Vecchio Ordinamento;1986;F;3
2023;Laurea;1986;M;590
2023;Laurea Magistrale;1986;M;493
2023;Laurea Magistrale Ciclo Unico;1986;M;118
2023;Laurea;1987;F;765
