AnnoS;AteneoCOD;AteneoNOME;Continente;Diploma_Paese;CODIstatPaese;Lau_D
2024;1001;Genova;Africa;Algeria;401;5
2024;8201;Palermo;Africa;Algeria;401;12
2024;3701;Bologna;Africa;Camerun;411;30
2024;1701;Brescia;Africa;Camerun;411;6
2024;4302;Camerino;Africa;Camerun;411;9
2024;3801;Ferrara;Africa;Camerun;411;13
2024;4801;Firenze;Africa;Camerun;411;8
2024;1001;Genova;Africa;Camerun;411;12
2024;3601;Modena e Reggio Emilia;Africa;Camerun;411;12
2024;2801;Padova;Africa;Camerun;411;8
2024;3401;Parma;Africa;Camerun;411;29
2024;201;Piemonte Orientale;Africa;Camerun;411;12
2024;5001;Pisa;Africa;Camerun;411;13
2024;5801;Roma La Sapienza;Africa;Camerun;411;10
2024;101;Torino;Africa;Camerun;411;6
2024;102;Torino Politecnico;Africa;Camerun;411;10
2024;5401;Perugia;Africa;Congo;418;8
2024;8201;Palermo;Africa;Costa d'Avorio;404;6
2024;3701;Bologna;Africa;Egitto;419;8
2024;6001;Cassino;Africa;Egitto;419;5
2024;1001;Genova;Africa;Egitto;419;5
2024;6601;L'Aquila;Africa;Egitto;419;5
2024;4201;Marche;Africa;Egitto;419;5
2024;1501;Milano;Africa;Egitto;419;14
2024;1502;Milano Politecnico;Africa;Egitto;419;72
2024;2801;Padova;Africa;Egitto;419;15
2024;1801;Pavia;Africa;Egitto;419;22
2024;5801;Roma La Sapienza;Africa;Egitto;419;16
2024;5201;Siena;Africa;Egitto;419;5
2024;102;Torino Politecnico;Africa;Egitto;419;14
2024;3201;Trieste;Africa;Egitto;419;6
2024;6001;Cassino;Africa;Etiopia;420;20
2024;1502;Milano Politecnico;Africa;Etiopia;420;5
2024;5401;Perugia;Africa;Etiopia;420;6
2024;5801;Roma La Sapienza;Africa;Etiopia;420;12
2024;2201;Trento;Africa;Etiopia;420;6
2024;5601;Tuscia;Africa;Etiopia;420;5
2024;101;Torino;Africa;Gabon;421;5
2024;1202;Insubria;Africa;Gambia;422;6
2024;6601;L'Aquila;Africa;Gambia;422;11
2024;2801;Padova;Africa;Gambia;422;5
2024;1801;Pavia;Africa;Gambia;422;5
2024;6601;L'Aquila;Africa;Ghana;423;16
2024;2801;Padova;Africa;Ghana;423;7
2024;5801;Roma La Sapienza;Africa;Ghana;423;5
2024;5201;Siena;Africa;Kenya;428;20
2024;5403;Perugia Stranieri;Africa;Libia;431;5
2024;3701;Bologna;Africa;Marocco;436;5
2024;9201;Cagliari;Africa;Marocco;436;7
2024;3801;Ferrara;Africa;Marocco;436;6
2024;4801;Firenze;Africa;Marocco;436;6
2024;1001;Genova;Africa;Marocco;436;7
2024;1503;Milano Bocconi;Africa;Marocco;436;13
2024;1502;Milano Politecnico;Africa;Marocco;436;8
2024;2801;Padova;Africa;Marocco;436;6
2024;5401;Perugia;Africa;Marocco;436;6
2024;5805;Roma Luiss;Africa;Marocco;436;5
2024;101;Torino;Africa;Marocco;436;5
2024;102;Torino Politecnico;Africa;Marocco;436;10
2024;7201;Bari;Africa;Nigeria;443;6
2024;6601;L'Aquila;Africa;Nigeria;443;22
2024;2801;Padova;Africa;Nigeria;443;11
2024;5802;Roma Tor Vergata;Africa;Nigeria;443;7
2024;7501;Salento;Africa;Nigeria;443;5
2024;5601;Tuscia;Africa;Nigeria;443;10
2024;5801;Roma La Sapienza;Africa;Ruanda;446;6
2024;5802;Roma Tor Vergata;Africa;Ruanda;446;11
2024;102;Torino Politecnico;Africa;Ruanda;446;6
2024;1502;Milano Politecnico;Africa;Sudan;455;23
2024;2801;Padova;Africa;Sudan;455;5
2024;3701;Bologna;Africa;Tunisia;460;7
2024;9201;Cagliari;Africa;Tunisia;460;6
2024;3801;Ferrara;Africa;Tunisia;460;7
2024;1501;Milano;Africa;Tunisia;460;6
2024;2801;Padova;Africa;Tunisia;460;13
2024;8201;Palermo;Africa;Tunisia;460;6
2024;3401;Parma;Africa;Tunisia;460;8
2024;5403;Perugia Stranieri;Africa;Tunisia;460;6
2024;201;Piemonte Orientale;Africa;Tunisia;460;6
2024;5805;Roma Luiss;Africa;Tunisia;460;6
2024;9001;Sassari;Africa;Tunisia;460;6
2024;102;Torino Politecnico;Africa;Tunisia;460;6
2024;1501;Milano;Africa;Uganda;461;6
2024;5801;Roma La Sapienza;Africa;Uganda;461;7
2024;3701;Bologna;America;Argentina;602;26
2024;1501;Milano;America;Argentina;602;5
2024;1502;Milano Politecnico;America;Argentina;602;20
2024;2801;Padova;America;Argentina;602;8
2024;1801;Pavia;America;Argentina;602;5
2024;5801;Roma La Sapienza;America;Argentina;602;7
2024;5807;Roma Tre;America;Argentina;602;5
2024;6501;Salerno;America;Argentina;602;23
2024;102;Torino Politecnico;America;Argentina;602;19
2024;1001;Genova;America;Bolivia;604;6
2024;3701;Bologna;America;Brasile;605;28
2024;4302;Camerino;America;Brasile;605;5
2024;1001;Genova;America;Brasile;605;7
2024;1501;Milano;America;Brasile;605;19
2024;1503;Milano Bocconi;America;Brasile;605;24
2024;1502;Milano Politecnico;America;Brasile;605;31
2024;1301;Novedrate e-Campus - telematica;America;Brasile;605;5
2024;2801;Padova;America;Brasile;605;60
2024;1801;Pavia;America;Brasile;605;8
2024;5401;Perugia;America;Brasile;605;5
2024;5001;Pisa;America;Brasile;605;8
2024;5801;Roma La Sapienza;America;Brasile;605;21
2024;5805;Roma Luiss;America;Brasile;605;6
2024;5802;Roma Tor Vergata;America;Brasile;605;5
2024;101;Torino;America;Brasile;605;12
2024;102;Torino Politecnico;America;Brasile;605;16
2024;2201;Trento;America;Brasile;605;7
2024;3701;Bologna;America;Canada;509;7
2024;1503;Milano Bocconi;America;Canada;509;8
2024;1504;Milano Cattolica;America;Canada;509;5
2024;1502;Milano Politecnico;America;Canada;509;8
2024;2801;Padova;America;Canada;509;14
2024;3701;Bologna;America;Cile;606;7
2024;1502;Milano Politecnico;America;Cile;606;18
2024;2801;Padova;America;Cile;606;5
2024;102;Torino Politecnico;America;Cile;606;6
2024;3701;Bologna;America;Colombia;608;27
2024;1501;Milano;America;Colombia;608;9
2024;1504;Milano Cattolica;America;Colombia;608;6
2024;1502;Milano Politecnico;America;Colombia;608;92
2024;2801;Padova;America;Colombia;608;14
2024;5001;Pisa;America;Colombia;608;8
2024;5801;Roma La Sapienza;America;Colombia;608;8
2024;6501;Salerno;America;Colombia;608;7
2024;101;Torino;America;Colombia;608;7
2024;102;Torino Politecnico;America;Colombia;608;54
2024;7801;Calabria;America;Cuba;514;17
2024;3701;Bologna;America;Ecuador;609;6
2024;7801;Calabria;America;Ecuador;609;15
