AnnoS;ClasseNOME;ClasseNUMERO;SESSO;Lau_D
2024;Antropologia culturale ed etnologia;LM-1;F;15
2024;Antropologia culturale ed etnologia;LM-1;M;5
2024;Archeologia;LM-2;F;55
2024;Archeologia;LM-2;M;12
2024;Architettura del paesaggio;LM-3;F;75
2024;Architettura del paesaggio;LM-3;M;28
2024;Architettura e ingegneria edile-architettura;LM-4;F;594
2024;Architettura e ingegneria edile-architettura;LM-4;M;289
2024;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;F;29
2024;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;M;24
2024;Archivistica e biblioteconomia;LM-5;F;1
2024;Archivistica e biblioteconomia;LM-5;M;1
2024;Beni culturali;L-1;F;30
2024;Beni culturali;L-1;M;4
2024;Biologia;LM-6;F;143
2024;Biologia;LM-6;M;76
2024;Biotecnologie;L-2;F;32
2024;Biotecnologie;L-2;M;21
2024;Biotecnologie agrarie;LM-7;F;5
2024;Biotecnologie agrarie;LM-7;M;7
2024;Biotecnologie industriali;LM-8;F;46
2024;Biotecnologie industriali;LM-8;M;31
2024;Biotecnologie mediche, veterinarie e farmaceutiche;LM-9;F;185
2024;Biotecnologie mediche, veterinarie e farmaceutiche;LM-9;M;93
2024;Classe non definita;LM-13;F;1
2024;Classe non definita;LM-37;F;1
2024;Classe non definita;LM-6;F;2
2024;Classe non definita;LMG/01;F;1
2024;Conservazione e restauro dei beni culturali;LMR/02;F;1
2024;Conservazione e restauro dei beni culturali;LMR/02;M;2
2024;Data Science;LM-Data;F;3
2024;Data Science;LM-Data;M;7
2024;Design;LM-12;F;244
2024;Design;LM-12;M;97
2024;Diagnostica per la conservazione dei beni culturali;L-43;F;1
2024;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;F;45
2024;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;M;13
2024;Disegno industriale;L-4;F;82
2024;Disegno industriale;L-4;M;50
2024;Farmacia e farmacia industriale;LM-13;F;86
2024;Farmacia e farmacia industriale;LM-13;M;44
2024;Filologia moderna;LM-14;F;71
2024;Filologia moderna;LM-14;M;21
2024;Filologia, letterature e storia dell'antichità;LM-15;F;2
2024;Filologia, letterature e storia dell'antichità;LM-15;M;1
2024;Filosofia;L-5;F;39
2024;Filosofia;L-5;M;18
2024;Finanza;LM-16;F;77
2024;Finanza;LM-16;M;96
2024;Fisica;LM-17;F;60
2024;Fisica;LM-17;M;83
2024;Geografia;L-6;F;2
2024;Informatica;LM-18;F;83
2024;Informatica;LM-18;M;165
2024;Informazione e sistemi editoriali;LM-19;F;16
2024;Informazione e sistemi editoriali;LM-19;M;3
2024;Ingegneria aerospaziale e astronautica;LM-20;F;17
2024;Ingegneria aerospaziale e astronautica;LM-20;M;78
2024;Ingegneria biomedica;LM-21;F;32
2024;Ingegneria biomedica;LM-21;M;21
2024;Ingegneria chimica;LM-22;F;25
2024;Ingegneria chimica;LM-22;M;60
2024;Ingegneria civile;LM-23;F;49
2024;Ingegneria civile;LM-23;M;181
2024;Ingegneria civile e ambientale;L-7;F;26
2024;Ingegneria civile e ambientale;L-7;M;24
2024;Ingegneria dei materiali;LM-53;F;13
2024;Ingegneria dei materiali;LM-53;M;9
2024;Ingegneria dei sistemi edilizi;LM-24;F;66
2024;Ingegneria dei sistemi edilizi;LM-24;M;90
2024;Ingegneria della sicurezza;LM-26;F;10
2024;Ingegneria della sicurezza;LM-26;M;16
2024;Ingegneria dell'automazione;LM-25;F;32
2024;Ingegneria dell'automazione;LM-25;M;104
