AnnoS;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeC;SedeP;Sesso;Lau
2008;5201;Siena;19;Scienze dell'amministrazione;SIENA;52;M;2853
2009;5201;Siena;19;Scienze dell'amministrazione;SIENA;52;M;2661
2005;101;Torino;19;Scienze dell'amministrazione e dell'organizzazione;TORINO;1;M;2207
2007;5201;Siena;19;Scienze dell'amministrazione;SIENA;52;M;1912
2003;5802;Roma Tor Vergata;DS1;Scienze della sicurezza economico finanziaria;ROMA;58;M;1760
2002;5001;Pisa;DS1;Scienze marittime e navali;PISA;50;M;1678
2001;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;F;1452
2006;5201;Siena;19;Scienze dell'amministrazione;SIENA;52;M;1434
2002;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;F;1428
2008;5601;Tuscia;15;Scienze organizzative e gestionali;VITERBO;56;M;1369
2005;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;1298
2003;5801;Roma La Sapienza;99999;Psicologia;ROMA;58;F;1290
2003;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;F;1287
2004;5801;Roma La Sapienza;99999;Psicologia;ROMA;58;F;1241
2004;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;1241
2009;5601;Tuscia;15;Scienze organizzative e gestionali;VITERBO;56;M;1227
2003;5802;Roma Tor Vergata;DS1;Scienze della sicurezza;ROMA;58;M;1189
2003;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;1182
2002;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;1182
2004;3701;Bologna;17;Economia e commercio (teledidattico);BOLOGNA;37;M;1177
2001;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;1174
2006;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;1103
2004;5802;Roma Tor Vergata;DS1/S;Scienze della sicurezza economico-finanziaria;ROMA;58;M;1099
2003;5801;Roma La Sapienza;99999;Lettere;ROMA;58;F;1084
2003;5802;Roma Tor Vergata;DS1/S;Scienze della sicurezza interna ed esterna;ROMA;58;M;1061
2001;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;M;1040
2002;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;M;1040
2005;5801;Roma La Sapienza;99999;Psicologia;ROMA;58;F;1033
2002;5801;Roma La Sapienza;99999;Psicologia;ROMA;58;F;1031
2004;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;F;1029
2003;2801;Padova;99999;Psicologia;PADOVA;28;F;1022
2005;3201;Trieste;99999;Scienze politiche;TRIESTE;32;M;1005
2002;2801;Padova;99999;Psicologia;PADOVA;28;F;986
2007;6901;Chieti e Pescara;SNT2;Fisioterapia;CHIETI;69;F;984
2001;7201;Bari;99999;Giurisprudenza;BARI;72;F;974
2004;2801;Padova;99999;Psicologia;PADOVA;28;F;970
2001;5801;Roma La Sapienza;99999;Lettere;ROMA;58;F;961
2001;2801;Padova;99999;Psicologia;PADOVA;28;F;960
2002;7201;Bari;99999;Giurisprudenza;BARI;72;F;960
2007;5601;Tuscia;15;Scienze organizzative e gestionali;VITERBO;56;M;953
2002;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;F;946
2001;5801;Roma La Sapienza;99999;Psicologia;ROMA;58;F;945
2005;5801;Roma La Sapienza;99999;Scienze della comunicazione;ROMA;58;F;938
2003;7201;Bari;99999;Giurisprudenza;BARI;72;F;936
2002;5801;Roma La Sapienza;99999;Lettere;ROMA;58;F;934
2001;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;F;910
2004;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;M;900
2003;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;M;897
2003;3701;Bologna;17;Economia e commercio (teledidattico);BOLOGNA;37;M;883
2004;5801;Roma La Sapienza;99999;Lettere;ROMA;58;F;880
2001;1501;Milano;99999;Giurisprudenza;MILANO;15;F;878
2001;3201;Trieste;99999;Servizio sociale;TRIESTE;32;F;875
2003;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;M;875
2001;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;M;871
2004;7201;Bari;99999;Giurisprudenza;BARI;72;F;865
2002;2801;Padova;SNT1;Infermieristica;PADOVA;28;F;860
2003;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;F;856
2002;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;M;837
2005;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;M;837
2002;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;M;833
2006;6901;Chieti e Pescara;17;Economia e management ;PESCARA;68;M;832
2002;1501;Milano;99999;Giurisprudenza;MILANO;15;F;831
2001;1502;Milano Politecnico;99999;Architettura;MILANO;15;F;827
2004;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;M;827
2005;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;F;821
2001;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;M;819
2004;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;F;814
2006;5801;Roma La Sapienza;99999;Scienze della comunicazione;ROMA;58;F;798
2003;5801;Roma La Sapienza;99999;Sociologia;ROMA;58;F;780
2003;5802;Roma Tor Vergata;DS1/S;Scienze della sicurezza economico-finanziaria;ROMA;58;M;778
2005;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;F;760
2003;5801;Roma La Sapienza;SNT2;Fisioterapia;ROMA;58;F;758
2005;5201;Siena;19;Scienze dell'amministrazione;SIENA;52;M;752
2007;6901;Chieti e Pescara;SNT1;Infermieristica;CHIETI;69;F;750
2006;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;M;749
2007;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;F;742
2005;7201;Bari;99999;Giurisprudenza;BARI;72;F;742
2001;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;M;736
2003;6301;Napoli Federico II;99999;Giurisprudenza;NAPOLI;63;M;730
2006;101;Torino;19;Scienze dell'amministrazione e dell'organizzazione;TORINO;1;M;730
2002;1502;Milano Politecnico;99999;Architettura;MILANO;15;F;729
2002;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;M;724
2005;1503;Milano Bocconi;99999;Economia aziendale;MILANO;15;M;724
2002;3201;Trieste;99999;Servizio sociale;TRIESTE;32;F;715
2001;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;F;711
2006;5601;Tuscia;15;Scienze organizzative e gestionali;VITERBO;56;M;707
2001;1502;Milano Politecnico;99999;Architettura;MILANO;15;M;705
2003;1501;Milano;99999;Giurisprudenza;MILANO;15;F;698
2007;8201;Palermo;SNT1;Infermieristica;PALERMO;82;F;695
2001;6301;Napoli Federico II;99999;Economia e commercio;NAPOLI;63;M;692
2003;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;M;687
2006;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;F;687
2004;1502;Milano Politecnico;99999;Architettura;MILANO;15;F;685
2001;7201;Bari;99999;Giurisprudenza;BARI;72;M;681
2002;7201;Bari;99999;Giurisprudenza;BARI;72;M;679
2006;5801;Roma La Sapienza;99999;Psicologia;ROMA;58;F;677
2002;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;M;670
2004;5801;Roma La Sapienza;99999;Giurisprudenza;ROMA;58;M;666
2001;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;M;664
2005;3701;Bologna;17;Economia e commercio (teledidattico);BOLOGNA;37;M;659
2003;1502;Milano Politecnico;99999;Architettura;MILANO;15;F;658
2005;5801;Roma La Sapienza;99999;Lettere;ROMA;58;F;655
2004;7201;Bari;99999;Scienze dell'educazione;BARI;72;F;650
2003;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;F;648
2005;2801;Padova;99999;Psicologia;PADOVA;28;F;645
2009;6901;Chieti e Pescara;SNT1;Infermieristica;CHIETI;69;F;644
2002;1502;Milano Politecnico;99999;Architettura;MILANO;15;M;643
2002;5801;Roma La Sapienza;99999;Economia e commercio;ROMA;58;F;638
2008;6901;Chieti e Pescara;SNT1;Infermieristica;CHIETI;69;F;635
2004;5801;Roma La Sapienza;99999;Sociologia;ROMA;58;F;628
2003;3701;Bologna;99999;Giurisprudenza;BOLOGNA;37;M;627
2003;7201;Bari;99999;Giurisprudenza;BARI;72;M;623
2005;6901;Chieti e Pescara;SNT2;Fisioterapia;CHIETI;69;F;623
2006;1501;Milano;3;Mediazione linguistica e culturale;SESTO SAN GIOVANNI;15;F;616
2004;1501;Milano;99999;Giurisprudenza;MILANO;15;F;614
2004;7201;Bari;99999;Giurisprudenza;BARI;72;M;612
